id;conversation_id;created_at;date;timezone;place;tweet;hashtags;cashtags;user_id;user_id_str;username;name;day;hour;link;retweet;nlikes;nreplies;nretweets;quote_url;search;near;geo;source;user_rt_id;user_rt;retweet_id;reply_to;retweet_date;translate;trans_src;trans_dest
1249779412154843144;1249779412154843144;1586805606000;2020-04-14 02:20:06;SE Asia Standard Time;;"Now that @karpathy has everyone talking about understanding backprop again, I got inspired to finish my own weird take🤓

To understand algorithms I always imagine stepping through them. So here's how backprop might feel from the inside?

📝  https://thinc.ai/docs/backprop101 … pic.twitter.com/uJk0Bry28M";[];[];14699038;14699038;honnibal;Matthew Honnibal;2;02;https://twitter.com/honnibal/status/1249779412154843144;False;428;3;63;;None;;;;;;;[{'user_id': '14699038', 'username': 'honnibal'}, {'user_id': '33836629', 'username': 'karpathy'}];;;;
1249577951940587520;1249554183268659200;1586757574000;2020-04-13 12:59:34;SE Asia Standard Time;;"Kind of.

As far as I can tell, gganimate and geom_bezier2() don't play well together - @thomasp85, is that right?

But... you can still generate the data structure using flametree_grow() and then create your own animated plot based on geom_line()

 https://gist.github.com/djnavarro/7a3d970372631e9443c108d9e2fe905d … pic.twitter.com/HUYL5JJ3xd";[];[];108899342;108899342;djnavarro;Danielle Navarro;1;12;https://twitter.com/djnavarro/status/1249577951940587520;False;13;3;0;;None;;;;;;;[{'user_id': '108899342', 'username': 'djnavarro'}, {'user_id': '1545908220', 'username': 'froukehe'}, {'user_id': '611597719', 'username': 'thomasp85'}];;;;
1249560264095043586;1249560264095043586;1586753357000;2020-04-13 11:49:17;SE Asia Standard Time;;"Ide WFH: Ambil kelas Science+Cooking di Harvard. 
Free dan ngga kaleng kaleng gaes.

 https://online-learning.harvard.edu/course/science-and-cooking?delta=0 … pic.twitter.com/lx36Sc3Zn6";[];[];45267021;45267021;TalkinAndy;Andy Fajar Handika;1;11;https://twitter.com/TalkinAndy/status/1249560264095043586;False;304;4;72;;None;;;;;;;[{'user_id': '45267021', 'username': 'TalkinAndy'}];;;;
1249557446558920704;1249551992315195392;1586752685000;2020-04-13 11:38:05;SE Asia Standard Time;;"There's an implementation that has 10 lines of code ;-) https://www.youtube.com/watch?v=FtnkqIsfNQc …";[];[];2566842619;2566842619;michal_sustr;Michal Šustr;1;11;https://twitter.com/michal_sustr/status/1249557446558920704;False;28;0;2;;None;;;;;;;[{'user_id': '2566842619', 'username': 'michal_sustr'}, {'user_id': '33836629', 'username': 'karpathy'}];;;;
1249551992315195392;1249551992315195392;1586751385000;2020-04-13 11:16:25;SE Asia Standard Time;;ok I'm pretty sure I wrote the tiniest autograd engine with a neural net library on top of it, weighing about ~50 LOC for the engine, ~50 LOC for the neural net library, and it's super cute and totally works. MicroGrad:  https://github.com/karpathy/randomfun/blob/master/MicroGrad.ipynb … 😂;[];[];33836629;33836629;karpathy;Andrej Karpathy;1;11;https://twitter.com/karpathy/status/1249551992315195392;False;1738;27;260;;None;;;;;;;[{'user_id': '33836629', 'username': 'karpathy'}];;;;
1249543313088286720;1249543313088286720;1586749315000;2020-04-13 10:41:55;SE Asia Standard Time;;A new thing I learned, ready to share! #Markov models and their variants, particularly #autoregressive HMMs. If those terms confused you before, hopefully my explainer clears some things up. Bonus: we show it with #bayesian inference for free!  https://ericmjl.github.io/essays-on-data-science/machine-learning/markov-models/ …;['#markov', '#autoregressive', '#bayesian'];[];22042824;22042824;ericmjl;ericmjl@localhost:8888;1;10;https://twitter.com/ericmjl/status/1249543313088286720;False;220;4;54;;None;;;;;;;[{'user_id': '22042824', 'username': 'ericmjl'}];;;;
1249430024194633728;1249430024194633728;1586722305000;2020-04-13 03:11:45;SE Asia Standard Time;;There's one metric that can help us through the next few months. For your Sunday reading, here's what it is, how to calculate it, and what it looks like by US State http://systrom.com/blog/the-metric-we-need-to-manage-covid-19/ …;[];[];380;380;kevin;Kevin Systrom;1;03;https://twitter.com/kevin/status/1249430024194633728;False;2058;85;628;;None;;;;;;;[{'user_id': '380', 'username': 'kevin'}];;;;
1249337500809793538;1249337500809793538;1586700246000;2020-04-12 21:04:06;SE Asia Standard Time;;"As promised, here is the first draft of the Colab notebook that shows how to use pretrained LMs and an Elasticsearch search engine on the @elastic cloud to build a simple text similarity search application using COVID-19 scholarly articles dataset. Enjoy!

 https://colab.research.google.com/drive/1VJzTxN1QYXdc9LOjVO4DWqpV7nY4okmD#scrollTo=PwZ1zOxil56y … pic.twitter.com/tXhprIUOnw";[];[];3448284313;3448284313;omarsar0;elvis;7;21;https://twitter.com/omarsar0/status/1249337500809793538;False;262;4;63;;None;;;;;;;[{'user_id': '3448284313', 'username': 'omarsar0'}, {'user_id': '84512601', 'username': 'elastic'}];;;;
1249323091404230658;1249323091404230658;1586696810000;2020-04-12 20:06:50;SE Asia Standard Time;;The checklist manifesto and beyond  https://statmodeling.stat.columbia.edu/2020/04/12/the-checklist-manifesto-and-beyond/ …;[];[];214653213;214653213;StatModeling;Andrew Gelman;7;20;https://twitter.com/StatModeling/status/1249323091404230658;False;24;2;4;;None;;;;;;;[{'user_id': '214653213', 'username': 'StatModeling'}];;;;
1249150624027066368;1249150624027066368;1586655691000;2020-04-12 08:41:31;SE Asia Standard Time;;"Tulis surat ke Presiden kok panjang amat. Padahal semakin singkat suratnya, makin besar kemungkinan dibaca dan isinya sampai.

Saran saya: pakai panduan one-pagi memo yang diajarkan Procter & Gamble. Masih dipakai sampai sekarang. pic.twitter.com/k7kf3vzw2n";[];[];89709462;89709462;sillysampi;Paramita Mohamad;7;08;https://twitter.com/sillysampi/status/1249150624027066368;False;4746;26;979;;None;;;;;;;[{'user_id': '89709462', 'username': 'sillysampi'}];;;;
1249054452134354947;1249054452134354947;1586632762000;2020-04-12 02:19:22;SE Asia Standard Time;;Ok I’m only 14 pages into Thinking in Systems but I’m going to have to go all in on recommending on it. pic.twitter.com/INU9mfPzMr;[];[];19304217;19304217;vboykis;Vicki Boykis;7;02;https://twitter.com/vboykis/status/1249054452134354947;False;865;49;65;;None;;;;;;;[{'user_id': '19304217', 'username': 'vboykis'}];;;;
1248527862203891713;1248527862203891713;1586507213000;2020-04-10 15:26:53;SE Asia Standard Time;;Hang on to your hats, everybody - I've *finally* created a summary page for my visualizations. https://rpsychologist.com/viz ;[];[];551658707;551658707;krstoffr;Kristoffer Magnusson;5;15;https://twitter.com/krstoffr/status/1248527862203891713;False;636;11;193;;None;;;;;;;[{'user_id': '551658707', 'username': 'krstoffr'}];;;;
1248235568150052865;1248235568150052865;1586437525000;2020-04-09 20:05:25;SE Asia Standard Time;;"Y'all this is a #ggplot 🤯

Way to go @geokaramanis for #TidyTuesday !! https://twitter.com/geokaramanis/status/1247586395876741120 …";['#ggplot', '#tidytuesday'];[];1241814552;1241814552;thomas_mock;Tom Mock;4;20;https://twitter.com/thomas_mock/status/1248235568150052865;False;211;5;20;https://twitter.com/geokaramanis/status/1247586395876741120;None;;;;;;;[{'user_id': '1241814552', 'username': 'thomas_mock'}, {'user_id': '1002212251', 'username': 'geokaramanis'}];;;;
1248045953216425984;1248045953216425984;1586392317000;2020-04-09 07:31:57;SE Asia Standard Time;;Petunjuk (mungkin lebih tepat pengingat) yang bagus untuk mengedit tulisan sendiri 👇🏼. https://nyti.ms/2RAji0L ;[];[];89709462;89709462;sillysampi;Paramita Mohamad;4;07;https://twitter.com/sillysampi/status/1248045953216425984;False;731;0;135;;None;;;;;;;[{'user_id': '89709462', 'username': 'sillysampi'}];;;;
1247862505944145921;1247862505944145921;1586348580000;2020-04-08 19:23:00;SE Asia Standard Time;;"Learn #brickr:
Turn yourself (or your dog) into a LEGO mosaic in 3 lines of #rstats code. pic.twitter.com/aT0pnYFAo5";['#brickr', '#rstats'];[];128042269;128042269;ryantimpe;Ryan Timpe;3;19;https://twitter.com/ryantimpe/status/1247862505944145921;False;164;4;26;;None;;;;;;;[{'user_id': '128042269', 'username': 'ryantimpe'}];;;;
1247580475524132864;1247580475524132864;1586281338000;2020-04-08 00:42:18;SE Asia Standard Time;;Time series forecasting best practices from @Microsoft, with notebooks in #Python and R #rstats https://github.com/microsoft/forecasting …;['#python', '#rstats'];[];34677653;34677653;revodavid;David Smith;3;00;https://twitter.com/revodavid/status/1247580475524132864;False;278;4;84;;None;;;;;;;[{'user_id': '34677653', 'username': 'revodavid'}, {'user_id': '74286565', 'username': 'Microsoft'}];;;;
1247513242051674116;1247513242051674116;1586265309000;2020-04-07 20:15:09;SE Asia Standard Time;;You can develop intuition about statistical models without having to learn math. Tell me if my primer helps! The 6-part series starts here:  http://ow.ly/oKCO50z6RHi  #datascience #analytics #numbersense #models pic.twitter.com/1ZPwqIBlPY;['#datascience', '#analytics', '#numbersense', '#models'];[];111407412;111407412;junkcharts;Kaiser Fung;2;20;https://twitter.com/junkcharts/status/1247513242051674116;False;5;0;2;;None;;;;;;;[{'user_id': '111407412', 'username': 'junkcharts'}];;;;
